Item,Durchgang,Network,Entropy,Correlation
ages,rest1_s200,Temp,fe,"{'VIS': [[0.04675070722787685], [0.39726875859547484], [1.0]], 'SMN': [[0.1376051757640682], [0.01234413516954288], [0.20985029788222898]], 'DAN': [[0.07068627755028982], [0.2002603362640321], [1.0]], 'VAN': [[0.13043006692226497], [0.01776288483993304], [0.3019690422788617]], 'LIM': [[0.20334735968842815], [0.00020009243116619421], [0.0034015713298253016]], 'CON': [[0.08270029758054542], [0.1338232857634553], [1.0]], 'DMN': [[0.08878732608474169], [0.10740598516237808], [1.0]], 'Temp': [[0.12270318593270832], [0.025814882880295893], [0.43885300896503016]]}"
ages,rest1_s200,VIS,mse,"{'VIS': [[-0.14737331134708379], [0.0073256033470617795], [0.12453525690005025]], 'SMN': [[-0.09108268221426954], [0.0985843671959271], [1.0]], 'DAN': [[-0.0858300306910106], [0.11967564282932504], [1.0]], 'VAN': [[-0.10372775856496058], [0.05980363547169551], [1.0]], 'LIM': [[-0.23957365040232964], [1.0835236455438858e-05], [0.00018419901974246059]], 'CON': [[-0.06827958336909408], [0.21605074524831971], [1.0]], 'DMN': [[-0.12777603257083492], [0.020239162594844092], [0.34406576411234957]], 'Temp': [[-0.1787658901023468], [0.0011085116064122424], [0.01884469730900812]]}"
ages,rest1_s200,SMN,mse,"{'VIS': [[-0.14737331134708379], [0.0073256033470617795], [0.12453525690005025]], 'SMN': [[-0.09108268221426954], [0.0985843671959271], [1.0]], 'DAN': [[-0.0858300306910106], [0.11967564282932504], [1.0]], 'VAN': [[-0.10372775856496058], [0.05980363547169551], [1.0]], 'LIM': [[-0.23957365040232964], [1.0835236455438858e-05], [0.00018419901974246059]], 'CON': [[-0.06827958336909408], [0.21605074524831971], [1.0]], 'DMN': [[-0.12777603257083492], [0.020239162594844092], [0.34406576411234957]], 'Temp': [[-0.1787658901023468], [0.0011085116064122424], [0.01884469730900812]]}"
ages,rest1_s200,DAN,mse,"{'VIS': [[-0.14737331134708379], [0.0073256033470617795], [0.12453525690005025]], 'SMN': [[-0.09108268221426954], [0.0985843671959271], [1.0]], 'DAN': [[-0.0858300306910106], [0.11967564282932504], [1.0]], 'VAN': [[-0.10372775856496058], [0.05980363547169551], [1.0]], 'LIM': [[-0.23957365040232964], [1.0835236455438858e-05], [0.00018419901974246059]], 'CON': [[-0.06827958336909408], [0.21605074524831971], [1.0]], 'DMN': [[-0.12777603257083492], [0.020239162594844092], [0.34406576411234957]], 'Temp': [[-0.1787658901023468], [0.0011085116064122424], [0.01884469730900812]]}"
ages,rest1_s200,VAN,mse,"{'VIS': [[-0.14737331134708379], [0.0073256033470617795], [0.12453525690005025]], 'SMN': [[-0.09108268221426954], [0.0985843671959271], [1.0]], 'DAN': [[-0.0858300306910106], [0.11967564282932504], [1.0]], 'VAN': [[-0.10372775856496058], [0.05980363547169551], [1.0]], 'LIM': [[-0.23957365040232964], [1.0835236455438858e-05], [0.00018419901974246059]], 'CON': [[-0.06827958336909408], [0.21605074524831971], [1.0]], 'DMN': [[-0.12777603257083492], [0.020239162594844092], [0.34406576411234957]], 'Temp': [[-0.1787658901023468], [0.0011085116064122424], [0.01884469730900812]]}"
ages,rest1_s200,LIM,mse,"{'VIS': [[-0.14737331134708379], [0.0073256033470617795], [0.12453525690005025]], 'SMN': [[-0.09108268221426954], [0.0985843671959271], [1.0]], 'DAN': [[-0.0858300306910106], [0.11967564282932504], [1.0]], 'VAN': [[-0.10372775856496058], [0.05980363547169551], [1.0]], 'LIM': [[-0.23957365040232964], [1.0835236455438858e-05], [0.00018419901974246059]], 'CON': [[-0.06827958336909408], [0.21605074524831971], [1.0]], 'DMN': [[-0.12777603257083492], [0.020239162594844092], [0.34406576411234957]], 'Temp': [[-0.1787658901023468], [0.0011085116064122424], [0.01884469730900812]]}"
ages,rest1_s200,CON,mse,"{'VIS': [[-0.14737331134708379], [0.0073256033470617795], [0.12453525690005025]], 'SMN': [[-0.09108268221426954], [0.0985843671959271], [1.0]], 'DAN': [[-0.0858300306910106], [0.11967564282932504], [1.0]], 'VAN': [[-0.10372775856496058], [0.05980363547169551], [1.0]], 'LIM': [[-0.23957365040232964], [1.0835236455438858e-05], [0.00018419901974246059]], 'CON': [[-0.06827958336909408], [0.21605074524831971], [1.0]], 'DMN': [[-0.12777603257083492], [0.020239162594844092], [0.34406576411234957]], 'Temp': [[-0.1787658901023468], [0.0011085116064122424], [0.01884469730900812]]}"
ages,rest1_s200,DMN,mse,"{'VIS': [[-0.14737331134708379], [0.0073256033470617795], [0.12453525690005025]], 'SMN': [[-0.09108268221426954], [0.0985843671959271], [1.0]], 'DAN': [[-0.0858300306910106], [0.11967564282932504], [1.0]], 'VAN': [[-0.10372775856496058], [0.05980363547169551], [1.0]], 'LIM': [[-0.23957365040232964], [1.0835236455438858e-05], [0.00018419901974246059]], 'CON': [[-0.06827958336909408], [0.21605074524831971], [1.0]], 'DMN': [[-0.12777603257083492], [0.020239162594844092], [0.34406576411234957]], 'Temp': [[-0.1787658901023468], [0.0011085116064122424], [0.01884469730900812]]}"
ages,rest1_s200,Temp,mse,"{'VIS': [[-0.14737331134708379], [0.0073256033470617795], [0.12453525690005025]], 'SMN': [[-0.09108268221426954], [0.0985843671959271], [1.0]], 'DAN': [[-0.0858300306910106], [0.11967564282932504], [1.0]], 'VAN': [[-0.10372775856496058], [0.05980363547169551], [1.0]], 'LIM': [[-0.23957365040232964], [1.0835236455438858e-05], [0.00018419901974246059]], 'CON': [[-0.06827958336909408], [0.21605074524831971], [1.0]], 'DMN': [[-0.12777603257083492], [0.020239162594844092], [0.34406576411234957]], 'Temp': [[-0.1787658901023468], [0.0011085116064122424], [0.01884469730900812]]}"
ages,rest2_s200,VIS,std_raw,"{'VIS': [[-0.11187955238660702], [0.042248727515950504], [0.7182283677711586]], 'SMN': [[-0.09823979701908109], [0.07472379506014164], [1.0]], 'DAN': [[-0.11431069552723787], [0.03794158695103921], [0.6450069781676666]], 'VAN': [[-0.07172774453148952], [0.1936936502440071], [1.0]], 'LIM': [[-0.08174781841500636], [0.13837511580238196], [1.0]], 'CON': [[-0.14680486311198324], [0.007557814161715637], [0.12848284074916583]], 'DMN': [[-0.10937027268899054], [0.047118905725101475], [0.8010213973267251]], 'Temp': [[-0.04989152337240039], [0.36628804620496536], [1.0]]}"
